Chronologic VCS simulator copyright 1991-2011
Contains Synopsys proprietary information.
Compiler version E-2011.03_Full64; Runtime version E-2011.03_Full64;  Jan 25 15:04 2013
STARTING TESTBENCH!

  i=        101  reset=0  state=00  in=1  out=0  correct=1
  i=        102  reset=0  state=01  in=1  out=0  correct=1
  i=        103  reset=0  state=01  in=0  out=0  correct=1
  i=        104  reset=0  state=10  in=0  out=0  correct=1
  i=        105  reset=0  state=00  in=0  out=0  correct=1
  i=        106  reset=0  state=00  in=0  out=0  correct=1
  i=        107  reset=0  state=00  in=0  out=0  correct=1
  i=        108  reset=0  state=00  in=0  out=0  correct=1
  i=        109  reset=0  state=00  in=0  out=0  correct=1
  i=        110  reset=1  state=00  in=1  out=0  correct=1
  i=        111  reset=0  state=00  in=1  out=0  correct=1
  i=        112  reset=0  state=01  in=1  out=0  correct=1
  i=        113  reset=0  state=01  in=1  out=0  correct=1
  i=        114  reset=0  state=01  in=1  out=0  correct=1
  i=        115  reset=0  state=01  in=0  out=0  correct=1
  i=        116  reset=0  state=10  in=1  out=0  correct=1
  i=        117  reset=0  state=11  in=1  out=1  correct=1
  i=        118  reset=0  state=01  in=0  out=0  correct=1
  i=        119  reset=0  state=10  in=0  out=0  correct=1
  i=        120  reset=1  state=00  in=1  out=0  correct=1
  i=        121  reset=0  state=00  in=1  out=0  correct=1
  i=        122  reset=0  state=01  in=0  out=0  correct=1
  i=        123  reset=0  state=10  in=1  out=0  correct=1
  i=        124  reset=0  state=11  in=1  out=1  correct=1
  i=        125  reset=0  state=01  in=1  out=0  correct=1
  i=        126  reset=0  state=01  in=1  out=0  correct=1
  i=        127  reset=0  state=01  in=0  out=0  correct=1
  i=        128  reset=0  state=10  in=0  out=0  correct=1
  i=        129  reset=0  state=00  in=0  out=0  correct=1
  i=        130  reset=1  state=00  in=1  out=0  correct=1
  i=        131  reset=0  state=00  in=0  out=0  correct=1
  i=        132  reset=0  state=00  in=0  out=0  correct=1
  i=        133  reset=0  state=00  in=0  out=0  correct=1
  i=        134  reset=0  state=00  in=1  out=0  correct=1
  i=        135  reset=0  state=01  in=1  out=0  correct=1
  i=        136  reset=0  state=01  in=0  out=0  correct=1
  i=        137  reset=0  state=10  in=0  out=0  correct=1
  i=        138  reset=0  state=00  in=1  out=0  correct=1
  i=        139  reset=0  state=01  in=0  out=0  correct=1
  i=        140  reset=1  state=10  in=0  out=0  correct=1
  i=        141  reset=0  state=00  in=0  out=0  correct=1
  i=        142  reset=0  state=00  in=1  out=0  correct=1
  i=        143  reset=0  state=01  in=0  out=0  correct=1
  i=        144  reset=0  state=10  in=0  out=0  correct=1
  i=        145  reset=0  state=00  in=1  out=0  correct=1
  i=        146  reset=0  state=01  in=0  out=0  correct=1
  i=        147  reset=0  state=10  in=1  out=0  correct=1
  i=        148  reset=0  state=11  in=1  out=1  correct=1
  i=        149  reset=0  state=01  in=1  out=0  correct=1
  i=        150  reset=1  state=01  in=1  out=0  correct=1
  i=        151  reset=0  state=00  in=1  out=0  correct=1
  i=        152  reset=0  state=01  in=0  out=0  correct=1
  i=        153  reset=0  state=10  in=0  out=0  correct=1
  i=        154  reset=0  state=00  in=0  out=0  correct=1
  i=        155  reset=0  state=00  in=1  out=0  correct=1
  i=        156  reset=0  state=01  in=0  out=0  correct=1
  i=        157  reset=0  state=10  in=0  out=0  correct=1
